         80          10         2                                            

Angular distribution:

         eV  Coefficients
 7.140000+6  5.840100-1 4.038700-1 2.092400-1 6.610500-2 9.916900-3 5.204300-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 7.500000+6  6.045800-1 4.190000-1 2.269500-1 7.535400-2 1.421300-2 5.583700-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 8.030000+6  6.029100-1 4.161100-1 2.238900-1 7.120000-2 8.496500-3 2.553200-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 8.400000+6  6.243400-1 4.395500-1 2.463300-1 8.937700-2 1.617200-2 4.128000-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 9.060000+6  6.341500-1 4.473900-1 2.602100-1 1.016300-1 2.386800-2 7.771000-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 9.500000+6  6.452200-1 4.545300-1 2.696900-1 1.101800-1 2.661300-2 6.391400-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 1.000000+7  6.425900-1 4.459100-1 2.616900-1 1.027900-1 2.118400-2 4.806200-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 1.095000+7  6.862510-1 4.867220-1 2.924290-1 1.220790-1 2.659970-2 6.056220-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 1.204000+7  6.998800-1 4.912360-1 2.961760-1 1.243160-1 2.957550-2 7.202880-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 1.294000+7  7.183910-1 5.081280-1 3.117520-1 1.376570-1 3.582620-2 8.999620-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 1.394000+7  7.295510-1 5.173860-1 3.216490-1 1.478280-1 4.203560-2 1.138200-2 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 1.494000+7  7.444300-1 5.240860-1 3.246260-1 1.461400-1 3.932130-2 8.633230-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 1.689000+7  7.770620-1 5.682990-1 3.772390-1 1.993130-1 8.130270-2 2.755750-2 6.185570-3 0.000000+0 0.000000+0 0.000000+0                                            
 1.800000+7  8.039790-1 5.965620-1 4.174170-1 2.651330-1 1.382570-1 5.866310-2 2.063280-2 6.402610-3 1.792430-3 4.544740-4                      
 1.900000+7  8.145870-1 6.098270-1 4.299280-1 2.772120-1 1.492140-1 6.562830-2 2.407800-2 7.796240-3 2.278560-3 6.036260-4                      
 2.000000+7  8.242420-1 6.224680-1 4.421470-1 2.888540-1 1.598390-1 7.271530-2 2.776210-2 9.362880-3 2.856270-3 7.976640-4                      
